Restaurant_Name,Rating,Price_For_One,Cuisine,Location,Delivery_Review_Number,Link
Midnight Eats,4.0,300,Fast Food,Forum Rex Walk,21,https://www.zomato.com//bangalore/dhaba-estd-1986-delhi-1-brigade-road-bangalore 
Momo Rice Noodles,3.4,300,Fast Food,City Market,66,https://www.zomato.com//bangalore/atithi-satkaar-city-market-bangalore 
Curryce Andhra Bhojanam,3.6,300,Andhra,Koramangala,624,https://www.zomato.com//bangalore/sri-ganesh-juice-junction-koramangala-5th-block-bangalore 
Kolkata King,4.5,300,Fast Food,Shanti Nagar,713,https://www.zomato.com//bangalore/bombay-kulfi-rabri-shanti-nagar-bangalore 
Puliyogare Palace,4.0,300,South Indian,Koramangala,21,https://www.zomato.com//bangalore/the-coorg-food-co-koramangala-6th-block-bangalore 
KC Das,4.0,300,Sweets,Domlur,737,https://www.zomato.com//bangalore/le-gateau-the-cake-shop-domlur-bangalore 
Wheat Barn,4.0,300,Fast Food,Shivajinagar,610,https://www.zomato.com//bangalore/hive-honey-cake-shivajinagar-bangalore 
Justbe Resto Cafe,3.5,300,Beverages,Jayanagar,5,https://www.zomato.com//bangalore/uff-urban-food-factory-1-jayanagar-bangalore 
New Ambur Biryani,4.3,300,Biryani,Domlur,27,https://www.zomato.com//bangalore/copper-cloves-domlur-bangalore 
Mama Mangaalore,3.7,300,South Indian,Shivajinagar,754,https://www.zomato.com//bangalore/midnight-eats-shivajinagar-bangalore 
Element3,3.7,300,North Indian,BTM,19,https://www.zomato.com//bangalore/momo-rice-noodles-btm-bangalore 
Uttara Karnataka Jolada Rotti Mattu Chapati Angadi,3.9,100,South Indian,RT Nagar,12,https://www.zomato.com//bangalore/curryce-andhra-bhojanam-rt-nagar-bangalore 
Andhra Delight,3.7,100,Andhra,Basavanagudi,664,https://www.zomato.com//bangalore/kolkata-king-basavanagudi-bangalore 
Thin Tony's Pizza,3.1,100,Fast Food,Wilson Garden,790,https://www.zomato.com//bangalore/puliyogare-palace-wilson-garden-bangalore 
Juice Junction,3.7,100,Desserts,Jayanagar,987,https://www.zomato.com//bangalore/kc-das-jayanagar-bangalore 
Shetty Lunch Home,4.0,100,North Indian,Koramangala,540,https://www.zomato.com//bangalore/wheat-barn-koramangala-6th-block-bangalore 
Cheesecakes by CakeZone,4.3,100,Desserts,Sadashiv Nagar,656,https://www.zomato.com//justbecafe 
Oh! Bambai,4.0,100,Street Food,Shanti Nagar,15,https://www.zomato.com//bangalore/new-ambur-biryani-shanti-nagar 
Magic Chef Restaurant,4.0,100,Fast Food,Koramangala,44,https://www.zomato.com//bangalore/mama-mangaalore-koramangala-5th-block-bangalore 
The Betel Leaf Co - Originally from Bangalore,4.2,100,Sweets,Indiranagar,5,https://www.zomato.com//bangalore/element3-indiranagar-bangalore 
Bhole Ke Chole,3.6,100,North Indian,Jayanagar,601,https://www.zomato.com//bangalore/uttara-karnataka-jolada-rotti-mattu-chapati-angadi-jayanagar-bangalore 
Little Cafe,3.9,100,Fast Food,Koramangala,821,https://www.zomato.com//bangalore/andhra-delight-1-koramangala-1st-block-bangalore 
Agadi Mud Pot Tea,4.0,100,Bengali,Indiranagar,64,https://www.zomato.com//bangalore/thin-tonys-pizza-indiranagar-bangalore 
Naachiyar's,3.6,200,Biryani,Koramangala,529,https://www.zomato.com//bangalore/juice-junction-koramangala-5th-block 
Amore Gelato,4.2,200,Desserts,Koramangala,76,https://www.zomato.com//bangalore/shetty-lunch-home-koramangala-4th-block-bangalore 
Burger King,4.0,200,Fast Food,Koramangala,980,https://www.zomato.com//bangalore/cheesecakes-by-cakezone-koramangala-6th-block-bangalore 
Empire Restaurant,3.4,200,South Indian,Koramangala,607,https://www.zomato.com//bangalore/oh-bambai-koramangala-5th-block-bangalore 
A2B - Adyar Ananda Bhavan,3.6,200,South Indian,BTM,9,https://www.zomato.com//bangalore/magic-chef-restaurant-btm-bangalore 
