restaurant_name,ratings,price_for_one,cuisine,links,location,delivery_review_no,timings
Craving O Clock,4.4,100,Sandwich,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Craving O Clock,4.4,100,Wraps,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Craving O Clock,4.4,100,Street Food,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Craving O Clock,4.4,100,Fast Food,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Craving O Clock,4.4,100,Shake,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Craving O Clock,4.4,100,Beverages,www.zomato.com/bangalore/craving-o-clock-btm-bangalore/order,BTM,7.0,8am – 7:45am 
Sabari Juice Junction,4.2,100,Beverages,www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order,Jeevan Bhima Nagar,0.0,9:30am – 10:30pm 
Sabari Juice Junction,4.2,100,Sandwich,www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order,Jeevan Bhima Nagar,0.0,9:30am – 10:30pm 
Sabari Juice Junction,4.2,100,Juices,www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order,Jeevan Bhima Nagar,0.0,9:30am – 10:30pm 
Sabari Juice Junction,4.2,100,Shake,www.zomato.com/bangalore/sabari-juice-junction-jeevan-bhima-nagar/order,Jeevan Bhima Nagar,0.0,9:30am – 10:30pm 
Punjabi Dhaba,3.7,100,North Indian,www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore/order,Indiranagar,13.0,"12midnight – 4am, 6am – 12midnight "
Punjabi Dhaba,3.7,100,Mughlai,www.zomato.com/bangalore/punjabi-dhaba-indiranagar-bangalore/order,Indiranagar,13.0,"12midnight – 4am, 6am – 12midnight "
